sample,thin_sample,who,value
162,1620,kids,2.996570
162,1620,tsimane,2.265276
162,1620,adults,8.816518
163,1630,monkeys,1.724450
163,1630,kids,2.768877
163,1630,tsimane,2.327624
163,1630,adults,7.959783
164,1640,monkeys,2.205315
164,1640,kids,2.442718
164,1640,tsimane,2.164111
164,1640,adults,8.661293
165,1650,monkeys,2.661661
165,1650,kids,2.593532
165,1650,tsimane,2.424285
165,1650,adults,2.645276
166,1660,monkeys,2.744338
166,1660,kids,2.243034
166,1660,tsimane,2.184431
166,1660,adults,2.922644
167,1670,monkeys,2.185896
167,1670,kids,2.267942
167,1670,tsimane,2.643508
167,1670,adults,2.612091
168,1680,monkeys,2.909699
168,1680,kids,2.581540
168,1680,tsimane,2.988637
168,1680,adults,3.759042
169,1690,monkeys,2.930285
169,1690,kids,2.629106
169,1690,tsimane,2.919512
169,1690,adults,4.143617
170,1700,monkeys,3.007863
170,1700,kids,2.635908
170,1700,tsimane,2.894942
170,1700,adults,4.153759
171,1710,monkeys,3.060294
171,1710,kids,2.658477
171,1710,tsimane,2.990092
171,1710,adults,4.138387
172,1720,monkeys,2.144241
172,1720,kids,2.585652
172,1720,tsimane,2.718670
172,1720,adults,3.101206
173,1730,monkeys,2.133434
173,1730,kids,2.739655
173,1730,tsimane,2.900457
173,1730,adults,3.977693
174,1740,monkeys,2.133434
174,1740,kids,2.739655
174,1740,tsimane,2.900457
174,1740,adults,3.977693
175,1750,monkeys,2.089340
175,1750,kids,2.864692
175,1750,tsimane,2.944552
175,1750,adults,4.073905
176,1760,monkeys,2.019622
176,1760,kids,2.736685
176,1760,tsimane,3.012589
176,1760,adults,4.522868
177,1770,monkeys,2.017574
177,1770,kids,2.555728
177,1770,tsimane,2.803251
177,1770,adults,4.190597
178,1780,monkeys,2.341943
178,1780,kids,2.753474
178,1780,tsimane,2.532829
178,1780,adults,2.541239
179,1790,monkeys,2.316803
179,1790,kids,2.725354
179,1790,tsimane,2.694548
179,1790,adults,2.596783
180,1800,monkeys,2.279827
180,1800,kids,2.653944
180,1800,tsimane,2.777823
180,1800,adults,4.014439
181,1810,monkeys,2.374184
181,1810,kids,2.372695
181,1810,tsimane,2.683825
181,1810,adults,3.765094
182,1820,monkeys,2.351836
182,1820,kids,2.698420
182,1820,tsimane,2.257549
182,1820,adults,4.538466
183,1830,monkeys,3.699718
183,1830,kids,3.033231
183,1830,tsimane,2.129195
183,1830,adults,1.700761
184,1840,monkeys,1.291911
184,1840,kids,2.656834
184,1840,tsimane,2.352737
184,1840,adults,12.591544
185,1850,monkeys,3.674529
185,1850,kids,2.191260
185,1850,tsimane,1.986903
185,1850,adults,3.511608
186,1860,monkeys,2.400662
186,1860,kids,2.648189
186,1860,tsimane,1.937315
186,1860,adults,2.267089
187,1870,monkeys,2.427182
187,1870,kids,2.580579
187,1870,tsimane,1.916265
187,1870,adults,2.217026
188,1880,monkeys,2.304189
188,1880,kids,2.582349
188,1880,tsimane,2.029865
188,1880,adults,2.316038
189,1890,monkeys,1.929518
189,1890,kids,2.347362
189,1890,tsimane,2.117314
189,1890,adults,2.481650
190,1900,monkeys,1.952633
190,1900,kids,2.298296
190,1900,tsimane,2.253312
190,1900,adults,2.664929
191,1910,monkeys,2.327308
191,1910,kids,2.252286
191,1910,tsimane,1.542098
191,1910,adults,2.118865
192,1920,monkeys,1.267049
192,1920,kids,2.166020
192,1920,tsimane,2.376570
192,1920,adults,2.731949
193,1930,monkeys,1.284279
193,1930,kids,2.641632
193,1930,tsimane,1.938191
193,1930,adults,2.152666
194,1940,monkeys,4.294894
194,1940,kids,2.786903
194,1940,tsimane,2.128453
194,1940,adults,2.999002
195,1950,monkeys,2.248098
195,1950,kids,2.396052
195,1950,tsimane,1.789879
195,1950,adults,4.146972
196,1960,monkeys,3.111301
196,1960,kids,2.360705
196,1960,tsimane,1.977156
196,1960,adults,4.555430
197,1970,monkeys,2.783272
197,1970,kids,2.273059
197,1970,tsimane,1.936630
197,1970,adults,7.862797
198,1980,monkeys,3.821537
198,1980,kids,2.944466
198,1980,tsimane,1.875277
198,1980,adults,1.444949
199,1990,monkeys,3.790520
199,1990,kids,3.230781
199,1990,tsimane,1.314699
199,1990,adults,2.514190
