sample,thin_sample,who,value
112,1120,tsimane,0.003720
112,1120,adults,0.000079
113,1130,monkeys,0.099339
113,1130,kids,0.012486
113,1130,tsimane,0.001098
113,1130,adults,0.000290
114,1140,monkeys,0.076740
114,1140,kids,0.012910
114,1140,tsimane,0.000586
114,1140,adults,0.002240
115,1150,monkeys,0.076068
115,1150,kids,0.013021
115,1150,tsimane,0.000573
115,1150,adults,0.002157
116,1160,monkeys,0.077166
116,1160,kids,0.012901
116,1160,tsimane,0.000532
116,1160,adults,0.002279
117,1170,monkeys,0.077121
117,1170,kids,0.012976
117,1170,tsimane,0.000489
117,1170,adults,0.002070
118,1180,monkeys,0.078693
118,1180,kids,0.012978
118,1180,tsimane,0.000698
118,1180,adults,0.001916
119,1190,monkeys,0.078865
119,1190,kids,0.012550
119,1190,tsimane,0.000721
119,1190,adults,0.001135
120,1200,monkeys,0.079451
120,1200,kids,0.012255
120,1200,tsimane,0.000697
120,1200,adults,0.001107
121,1210,monkeys,0.083537
121,1210,kids,0.015968
121,1210,tsimane,0.000813
121,1210,adults,0.000327
122,1220,monkeys,0.079134
122,1220,kids,0.016559
122,1220,tsimane,0.000631
122,1220,adults,0.000614
123,1230,monkeys,0.097615
123,1230,kids,0.013855
123,1230,tsimane,0.000704
123,1230,adults,0.002981
124,1240,monkeys,0.089934
124,1240,kids,0.015322
124,1240,tsimane,0.000756
124,1240,adults,0.004165
125,1250,monkeys,0.084124
125,1250,kids,0.013512
125,1250,tsimane,0.001156
125,1250,adults,0.001133
126,1260,monkeys,0.083137
126,1260,kids,0.013191
126,1260,tsimane,0.001109
126,1260,adults,0.001236
127,1270,monkeys,0.080877
127,1270,kids,0.013468
127,1270,tsimane,0.000993
127,1270,adults,0.001252
128,1280,monkeys,0.080841
128,1280,kids,0.013616
128,1280,tsimane,0.001005
128,1280,adults,0.001210
129,1290,monkeys,0.081225
129,1290,kids,0.013514
129,1290,tsimane,0.000950
129,1290,adults,0.001224
130,1300,monkeys,0.082246
130,1300,kids,0.013513
130,1300,tsimane,0.000839
130,1300,adults,0.001006
