sample,thin_sample,who,value
172,1720,adults,0.001760
173,1730,monkeys,0.086249
173,1730,kids,0.019037
173,1730,tsimane,0.003002
173,1730,adults,0.000620
174,1740,monkeys,0.084548
174,1740,kids,0.011672
174,1740,tsimane,0.001538
174,1740,adults,0.000452
175,1750,monkeys,0.092012
175,1750,kids,0.011355
175,1750,tsimane,0.003751
175,1750,adults,0.000545
176,1760,monkeys,0.081051
176,1760,kids,0.014209
176,1760,tsimane,0.004481
176,1760,adults,0.000239
177,1770,monkeys,0.071605
177,1770,kids,0.014397
177,1770,tsimane,0.000207
177,1770,adults,0.000463
178,1780,monkeys,0.081701
178,1780,kids,0.014476
178,1780,tsimane,0.000138
178,1780,adults,0.000560
179,1790,monkeys,0.081525
179,1790,kids,0.013610
179,1790,tsimane,0.000150
179,1790,adults,0.000968
180,1800,monkeys,0.070224
180,1800,kids,0.015533
180,1800,tsimane,0.000521
180,1800,adults,0.001357
181,1810,monkeys,0.085634
181,1810,kids,0.014042
181,1810,tsimane,0.004439
181,1810,adults,0.000985
182,1820,monkeys,0.087357
182,1820,kids,0.015161
182,1820,tsimane,0.003669
182,1820,adults,0.001781
183,1830,monkeys,0.086195
183,1830,kids,0.016952
183,1830,tsimane,0.004749
183,1830,adults,0.002544
184,1840,monkeys,0.075514
184,1840,kids,0.012693
184,1840,tsimane,0.000185
184,1840,adults,0.000250
185,1850,monkeys,0.070224
185,1850,kids,0.010523
185,1850,tsimane,0.000132
185,1850,adults,0.000099
186,1860,monkeys,0.091603
186,1860,kids,0.012916
186,1860,tsimane,0.000639
186,1860,adults,0.000180
187,1870,monkeys,0.094497
187,1870,kids,0.013610
187,1870,tsimane,0.000670
187,1870,adults,0.000162
188,1880,monkeys,0.072461
188,1880,kids,0.015304
188,1880,tsimane,0.005303
188,1880,adults,0.001969
189,1890,monkeys,0.084178
189,1890,kids,0.018533
189,1890,tsimane,0.003293
189,1890,adults,0.001278
190,1900,monkeys,0.088600
190,1900,kids,0.017326
190,1900,tsimane,0.002577
190,1900,adults,0.001683
191,1910,monkeys,0.078186
191,1910,kids,0.018185
191,1910,tsimane,0.005379
191,1910,adults,0.001219
192,1920,monkeys,0.082666
192,1920,kids,0.014749
192,1920,tsimane,0.001311
192,1920,adults,0.000913
193,1930,monkeys,0.074509
193,1930,kids,0.012689
193,1930,tsimane,0.001417
193,1930,adults,0.000317
194,1940,monkeys,0.115102
194,1940,kids,0.012872
194,1940,tsimane,0.001522
194,1940,adults,0.001180
195,1950,monkeys,0.098917
195,1950,kids,0.015573
