sample,thin_sample,who,part,digits,value
118,1180,adults,3,None,0.252334
119,1190,monkeys,0,None,0.005084
119,1190,kids,1,None,0.329864
119,1190,tsimane,2,None,0.002152
119,1190,adults,3,None,0.036719
120,1200,monkeys,0,None,0.005074
120,1200,kids,1,None,0.202322
120,1200,tsimane,2,None,0.119784
120,1200,adults,3,None,0.094924
121,1210,monkeys,0,None,0.005289
121,1210,kids,1,None,0.172469
121,1210,tsimane,2,None,0.116832
121,1210,adults,3,None,0.101895
122,1220,monkeys,0,None,0.003896
122,1220,kids,1,None,0.142122
122,1220,tsimane,2,None,0.081085
122,1220,adults,3,None,0.082641
123,1230,monkeys,0,None,0.491548
123,1230,kids,1,None,0.089742
123,1230,tsimane,2,None,0.024759
123,1230,adults,3,None,0.017170
124,1240,monkeys,0,None,0.076903
124,1240,kids,1,None,0.081929
124,1240,tsimane,2,None,0.289700
124,1240,adults,3,None,0.017751
125,1250,monkeys,0,None,0.036054
125,1250,kids,1,None,0.022578
125,1250,tsimane,2,None,0.009583
125,1250,adults,3,None,0.334642
126,1260,monkeys,0,None,0.052012
126,1260,kids,1,None,0.032048
126,1260,tsimane,2,None,0.009544
126,1260,adults,3,None,0.071935
127,1270,monkeys,0,None,0.055043
127,1270,kids,1,None,0.022577
127,1270,tsimane,2,None,0.036744
127,1270,adults,3,None,0.155558
128,1280,monkeys,0,None,0.041851
128,1280,kids,1,None,0.023074
128,1280,tsimane,2,None,0.492682
128,1280,adults,3,None,0.147750
129,1290,monkeys,0,None,0.151102
129,1290,kids,1,None,0.112756
129,1290,tsimane,2,None,0.004102
129,1290,adults,3,None,0.060101
130,1300,monkeys,0,None,0.057676
130,1300,kids,1,None,0.069600
130,1300,tsimane,2,None,0.122935
130,1300,adults,3,None,0.170662
131,1310,monkeys,0,None,0.134298
131,1310,kids,1,None,0.158805
131,1310,tsimane,2,None,0.082162
131,1310,adults,3,None,0.028053
132,1320,monkeys,0,None,0.213225
132,1320,kids,1,None,0.172338
132,1320,tsimane,2,None,0.033098
132,1320,adults,3,None,0.075385
133,1330,monkeys,0,None,0.240879
133,1330,kids,1,None,0.169036
133,1330,tsimane,2,None,0.042495
133,1330,adults,3,None,0.088603
134,1340,monkeys,0,None,0.213374
134,1340,kids,1,None,0.162860
134,1340,tsimane,2,None,0.046837
134,1340,adults,3,None,0.162533
135,1350,monkeys,0,None,0.194033
135,1350,kids,1,None,0.187058
135,1350,tsimane,2,None,0.056560
135,1350,adults,3,None,0.092430
136,1360,monkeys,0,None,0.012914
136,1360,kids,1,None,0.018301
136,1360,tsimane,2,None,0.003403
136,1360,adults,3,None,0.025727
137,1370,monkeys,0,None,0.014575
137,1370,kids,1,None,0.023649
137,1370,tsimane,2,None,0.004102
137,1370,adults,3,None,0.029869
138,1380,monkeys,0,None,0.026621
138,1380,kids,1,None,0.045752
