who,id,alg_name,alg_type,val,sds
tsimane, 49, OOMC, Recursive, 0.373233, 0.128043
tsimane, 49, OMOC, Tail, 0.009235, 0.021207
tsimane, 49, OOCM, Crossing, 0.501753, 0.118761
tsimane, 49, OCCO, Other, 0.006525, 0.018652
tsimane, 49, CCOO, Other, 0.009004, 0.018240
tsimane, 49, COCO, Other, 0.004652, 0.015095
tsimane, 49, COOM, Other, 0.064175, 0.058192
tsimane, 50, OMCO, Other, 0.009828, 0.021265
tsimane, 50, OCOM, Other, 0.016225, 0.021308
tsimane, 50, OOMC, Recursive, 0.713565, 0.118088
tsimane, 50, OMOC, Tail, 0.011371, 0.018727
tsimane, 50, OOCM, Crossing, 0.207094, 0.098974
tsimane, 50, OCCO, Other, 0.004793, 0.010998
tsimane, 50, CCOO, Other, 0.009202, 0.019266
tsimane, 50, COCO, Other, 0.009770, 0.019801
tsimane, 50, COOM, Other, 0.018152, 0.034290
tsimane, 51, OMCO, Other, 0.011443, 0.020170
tsimane, 51, OCOM, Other, 0.059295, 0.048848
tsimane, 51, OOMC, Recursive, 0.731558, 0.126725
tsimane, 51, OMOC, Tail, 0.011308, 0.025478
tsimane, 51, OOCM, Crossing, 0.167713, 0.112920
tsimane, 51, OCCO, Other, 0.004362, 0.013334
tsimane, 51, CCOO, Other, 0.003882, 0.009646
tsimane, 51, COCO, Other, 0.003395, 0.010761
tsimane, 51, COOM, Other, 0.007043, 0.012194
tsimane, 52, OMCO, Other, 0.014469, 0.025686
tsimane, 52, OCOM, Other, 0.017187, 0.028259
tsimane, 52, OOMC, Recursive, 0.609637, 0.135210
tsimane, 52, OMOC, Tail, 0.012455, 0.029554
tsimane, 52, OOCM, Crossing, 0.302731, 0.123346
tsimane, 52, OCCO, Other, 0.004665, 0.013869
tsimane, 52, CCOO, Other, 0.013581, 0.035646
tsimane, 52, COCO, Other, 0.006558, 0.019687
tsimane, 52, COOM, Other, 0.018716, 0.037294
tsimane, 53, OMCO, Other, 0.010567, 0.030610
tsimane, 53, OCOM, Other, 0.039612, 0.041239
tsimane, 53, OOMC, Recursive, 0.532251, 0.132825
tsimane, 53, OMOC, Tail, 0.024981, 0.043773
tsimane, 53, OOCM, Crossing, 0.358716, 0.126502
tsimane, 53, OCCO, Other, 0.006244, 0.015710
tsimane, 53, CCOO, Other, 0.010392, 0.026041
tsimane, 53, COCO, Other, 0.004333, 0.012780
tsimane, 53, COOM, Other, 0.012903, 0.022510
tsimane, 54, OMCO, Other, 0.034077, 0.052933
tsimane, 54, OCOM, Other, 0.091795, 0.059386
tsimane, 54, OOMC, Recursive, 0.482642, 0.122471
tsimane, 54, OMOC, Tail, 0.007288, 0.018334
tsimane, 54, OOCM, Crossing, 0.273500, 0.102455
tsimane, 54, OCCO, Other, 0.087056, 0.061456
