who,id,alg_name,alg_type,val,sd
kids, 6, )]OO, Other, 0.004342, 0.012098
kids, 6, C(C[, Other, 0.005550, 0.011886
kids, 7, C[C(, Other, 0.005335, 0.013340
kids, 7, OCOM, Other, 0.006144, 0.013054
kids, 7, )O]O, Other, 0.005129, 0.013245
kids, 7, ][(), Other, 0.004184, 0.010182
kids, 7, CC[(, Other, 0.004552, 0.011713
kids, 7, ])[(, Other, 0.004606, 0.011596
kids, 7, OCCO, Other, 0.004733, 0.011981
kids, 7, )]([, Other, 0.003695, 0.011545
kids, 7, [C(M, Other, 0.005135, 0.013415
kids, 7, ])OO, Other, 0.004721, 0.011678
kids, 7, ()][, Other, 0.006924, 0.015397
kids, 7, [)(], Other, 0.005633, 0.013095
kids, 7, )[](, Other, 0.004237, 0.010906
kids, 7, OO]), Crossing, 0.014552, 0.022966
kids, 7, ]([), Other, 0.004861, 0.012508
kids, 7, )OO], Other, 0.005731, 0.012752
kids, 7, C([M, Other, 0.006320, 0.015896
kids, 7, OMCO, Other, 0.005891, 0.014272
kids, 7, OOCM, Crossing, 0.015714, 0.029106
kids, 7, ([]), Recursive, 0.042343, 0.040226
kids, 7, ]O)O, Other, 0.004830, 0.011578
kids, 7, ])([, Other, 0.005145, 0.012690
kids, 7, COOC, Other, 0.004332, 0.010873
kids, 7, O]O), Other, 0.005007, 0.012354
kids, 7, )(][, Other, 0.004958, 0.012293
kids, 7, OO)], Crossing, 0.019949, 0.035643
kids, 7, COCO, Other, 0.005584, 0.013360
kids, 7, [](), Tail, 0.006449, 0.015185
kids, 7, CCOO, Other, 0.006744, 0.013570
kids, 7, [(CM, Crossing, 0.019960, 0.039604
kids, 7, CC([, Other, 0.005959, 0.013405
kids, 7, )([], Other, 0.006409, 0.014459
kids, 7, )[(], Other, 0.004424, 0.011844
kids, 7, [])(, Other, 0.004281, 0.011090
kids, 7, OMOM, Tail, 0.005792, 0.013418
kids, 7, OOMM, Recursive, 0.060017, 0.076610
kids, 7, (CC[, Other, 0.004442, 0.012637
kids, 7, ][)(, Other, 0.004522, 0.011925
kids, 7, (])[, Other, 0.005765, 0.013755
kids, 7, [CC(, Other, 0.004009, 0.011751
kids, 7, [(]), Other, 0.007065, 0.015631
kids, 7, O)O], Other, 0.006447, 0.014792
kids, 7, O)]O, Other, 0.005020, 0.012687
kids, 7, C[(M, Other, 0.004280, 0.011891
kids, 7, (C[M, Other, 0.004953, 0.011797
kids, 7, )][(, Other, 0.005206, 0.014698
kids, 7, ([)], Other, 0.007994, 0.015636
kids, 7, [()], Recursive, 0.552748, 0.114730
kids, 7, O])O, Other, 0.004884, 0.012894
kids, 7, ()[], Tail, 0.005751, 0.012694
kids, 7, ]()[, Other, 0.005882, 0.014022
kids, 7, (][), Other, 0.006889, 0.016279
kids, 7, [)](, Other, 0.005010, 0.012140
kids, 7, ([CM, Crossing, 0.015340, 0.024589
kids, 7, ]OO), Other, 0.004032, 0.009983
kids, 7, )]OO, Other, 0.003493, 0.009556
kids, 7, C(C[, Other, 0.005988, 0.013890
kids, 8, C[C(, Other, 0.018105, 0.039253
kids, 8, OCOM, Other, 0.013965, 0.029224
kids, 8, )O]O, Other, 0.014361, 0.031761
kids, 8, ][(), Other, 0.005383, 0.014898
kids, 8, CC[(, Other, 0.005345, 0.014033
kids, 8, ])[(, Other, 0.005634, 0.013404
kids, 8, OCCO, Other, 0.018291, 0.039885
kids, 8, )]([, Other, 0.005908, 0.015043
kids, 8, [C(M, Other, 0.012565, 0.026674
kids, 8, ])OO, Other, 0.005488, 0.014730
kids, 8, ()][, Other, 0.035995, 0.049633
kids, 8, [)(], Other, 0.042692, 0.050760
kids, 8, )[](, Other, 0.005308, 0.014060
kids, 8, OO]), Crossing, 0.018686, 0.030647
kids, 8, ]([), Other, 0.014894, 0.028359
kids, 8, )OO], Other, 0.010299, 0.022654
kids, 8, C([M, Other, 0.019595, 0.034716
kids, 8, OMCO, Other, 0.014672, 0.028709
kids, 8, OOCM, Crossing, 0.019397, 0.034287
kids, 8, ([]), Recursive, 0.066789, 0.059651
kids, 8, ]O)O, Other, 0.044179, 0.062531
kids, 8, ])([, Other, 0.006596, 0.015705
kids, 8, COOC, Other, 0.008975, 0.022262
kids, 8, O]O), Other, 0.010935, 0.022835
kids, 8, )(][, Other, 0.033425, 0.045080
kids, 8, OO)], Crossing, 0.027018, 0.041692
kids, 8, COCO, Other, 0.030438, 0.058213
kids, 8, [](), Tail, 0.006951, 0.016674
kids, 8, CCOO, Other, 0.006213, 0.014455
kids, 8, [(CM, Crossing, 0.010576, 0.020256
kids, 8, CC([, Other, 0.005698, 0.013888
kids, 8, )([], Other, 0.015399, 0.027789
kids, 8, )[(], Other, 0.004862, 0.013221
kids, 8, [])(, Other, 0.005164, 0.012792
kids, 8, OMOM, Tail, 0.005235, 0.013691
kids, 8, OOMM, Recursive, 0.035163, 0.044088
kids, 8, (CC[, Other, 0.026207, 0.045278
kids, 8, ][)(, Other, 0.044774, 0.056766
kids, 8, (])[, Other, 0.016124, 0.027331
kids, 8, [CC(, Other, 0.008257, 0.019395
kids, 8, [(]), Other, 0.008207, 0.019359
kids, 8, O)O], Other, 0.017811, 0.035734
kids, 8, O)]O, Other, 0.026181, 0.048032
kids, 8, C[(M, Other, 0.005140, 0.014033
kids, 8, (C[M, Other, 0.010562, 0.022645
kids, 8, )][(, Other, 0.004895, 0.012766
kids, 8, ([)], Other, 0.030411, 0.042942
kids, 8, [()], Recursive, 0.041583, 0.041125
kids, 8, O])O, Other, 0.007595, 0.018604
kids, 8, ()[], Tail, 0.008315, 0.017835
kids, 8, ]()[, Other, 0.015301, 0.027627
kids, 8, (][), Other, 0.013711, 0.026398
kids, 8, [)](, Other, 0.011510, 0.023677
kids, 8, ([CM, Crossing, 0.050225, 0.064976
kids, 8, ]OO), Other, 0.008277, 0.020097
kids, 8, )]OO, Other, 0.005510, 0.016080
kids, 8, C(C[, Other, 0.029206, 0.048188
kids, 9, C[C(, Other, 0.004850, 0.011264
kids, 9, OCOM, Other, 0.006654, 0.014367
kids, 9, )O]O, Other, 0.004684, 0.011917
kids, 9, ][(), Other, 0.004786, 0.012854
kids, 9, CC[(, Other, 0.004919, 0.012314
kids, 9, ])[(, Other, 0.004502, 0.012077
kids, 9, OCCO, Other, 0.005297, 0.012946
kids, 9, )]([, Other, 0.004145, 0.010959
kids, 9, [C(M, Other, 0.005345, 0.013168
kids, 9, ])OO, Other, 0.003335, 0.010029
kids, 9, ()][, Other, 0.008023, 0.016236
kids, 9, [)(], Other, 0.005957, 0.013137
kids, 9, )[](, Other, 0.004499, 0.012522
kids, 9, OO]), Crossing, 0.042589, 0.058985
