Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS
k0478,2015.03.31,114,31,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.4,726.9833,4006,4,1,FALSE,0,6,4,3,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,115,31,B,D,1,0,No Hint,Unknown,1,0,bl,0.5,727.4833,4006,4,1,FALSE,0,6,5,4,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,120,33,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.283333,749.55,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,121,33,C,B,1,0,No Hint,Unknown,bl,bl,bl,2.466667,752.0167,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,122,33,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.216667,753.2333,4006,4,1,FALSE,0,6,3,5,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,123,33,B,D,1,0,No Hint,Unknown,1,0,bl,0.5333333,753.7667,4006,4,1,FALSE,0,6,2,3,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,127,35,A,A,1,0,No Hint,Unknown,bl,bl,bl,2.75,794.35,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,128,35,C,B,1,0,No Hint,Unknown,bl,bl,bl,4.733333,799.0833,4006,4,1,FALSE,0,6,4,3,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,129,35,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.316667,800.4,4006,4,1,FALSE,0,6,0,4,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,130,35,B,D,1,0,No Hint,Unknown,1,0,bl,0.55,800.95,4006,4,1,FALSE,0,6,3,0,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,132,37,C,A,1,0,No Hint,Unknown,bl,bl,bl,14.05,833.1667,4006,4,1,FALSE,0,6,3,5,4006.03,,40,3,2,1,TEST ,CABD,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,133,37,A,B,1,0,No Hint,Unknown,bl,bl,bl,2.433333,835.6,4006,4,1,FALSE,0,6,5,1,4006.01,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,134,37,B,C,1,0,No Hint,Unknown,bl,bl,bl,1.6,837.2,4006,4,1,FALSE,0,6,1,3,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,135,37,D,D,1,0,No Hint,Unknown,1,0,bl,0.9833333,838.1833,4006,4,1,FALSE,0,6,2,2,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,139,39,A,A,1,0,No Hint,Unknown,bl,bl,bl,2.083333,865.8,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.919917864,47,34,52,22,20
k0478,2015.03.31,140,39,C,B,1,0,No Hint,Unknown,bl,bl,bl,2.466667,868.2667,4006,4,1,FALSE,0,6,2,1,4006.03,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,141,39,D,C,1,0,No Hint,Unknown,bl,bl,bl,2.216667,870.4833,4006,4,1,FALSE,0,6,3,2,4006.04,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0478,2015.03.31,142,39,B,D,1,0,No Hint,Unknown,1,0,bl,1.433333,871.9167,4006,4,1,FALSE,0,6,1,3,4006.02,,40,3,2,1,TEST ,,,4.919917864,47,34,52,22,20
k0475,2015.04.01,1,1,A,A,1,0,No Hint,Unknown,bl,bl,bl,7.3,12.95,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,TEST ,ACDB,Recursive,4.980150582,33,36,28,9,17
k0475,2015.04.01,2,1,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.733333,14.6,4006,4,1,FALSE,0,6,1,5,4006.03,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,3,1,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.45,15.05,4006,4,1,FALSE,0,6,4,1,4006.04,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,4,1,B,D,1,0,No Hint,Unknown,1,0,bl,0.6,15.65,4006,4,1,FALSE,0,6,5,4,4006.02,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,6,3,A,A,1,0,No Hint,Unknown,bl,bl,bl,3.116667,38.3,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,TEST ,ADDB,Repeated Bracket Error,4.980150582,33,36,28,9,17
k0475,2015.04.01,7,3,D,B,1,0,No Hint,Unknown,bl,bl,bl,1.933333,40.23333,4006,4,1,FALSE,0,6,4,0,4006.04,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,8,3,D,C,1,0,No Hint,Unknown,bl,bl,bl,3.816667,44.05,4006,4,1,FALSE,0,6,4,1,4006.04,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,9,3,B,D,1,0,No Hint,Unknown,1,0,bl,0.9833333,45.03333,4006,4,1,FALSE,0,6,0,4,4006.02,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,10,4,A,A,1,0,No Hint,Unknown,bl,bl,bl,2.8,52.61667,4006,4,1,FALSE,0,6,2,2,4006.01,,40,3,2,1,TEST ,ACBD,Not Recursive,4.980150582,33,36,28,9,17
k0475,2015.04.01,11,4,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.55,53.16667,4006,4,1,FALSE,0,6,1,0,4006.03,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
k0475,2015.04.01,12,4,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.5833333,53.75,4006,4,1,FALSE,0,6,0,1,4006.02,,40,3,2,1,TEST ,,,4.980150582,33,36,28,9,17
